,index,RMSE,MAE,R2
0,ARIMA,134068.1571931481,110067.83333333333,0.36576785079604957
1,XGBoost,25920.433602983314,19914.833333333332,0.9762927326532191
2,RandomForest,17250.70638650294,13899.333333333334,0.9894994816176205
3,LinearRegression,16221.040790693221,12433.0,0.9907155879704752
4,LSTM,16020.355307129323,12858.166666666666,0.9909438989362473
